Title, Meaning, Context, Notes
JRD,Journal of Rehabilitation Research and Development,,
JSI,Job Satisfaction Inventory,,
JSON,JavaScript Object Notation,,
JSP,Java Server Pages,,
JSP,Joint Strategic Plan,,
JSRRC,Joint Services Records Research Center,,
JTCC,Joint Transportation Corporate Information Management Center,,
JTPO,Joint Technology Program Office (VA/DoD),,
JVBOC,Joint Venture Business Operations Committee,,
JV,Journal Vouchers,,
JVM,Java Virtual Machine,,
JVS,Joint Venture Sites,,
KAAJEE,Kernel Authentication & Authorization for J2EE,,
KBI,Knowledge Based Information,,
KB,Knowledge Base,,
KEF,Key Enabling Function,,
KHA,Killed in Hostile Action,,
KIDS,Kernel Installation & Distribution System,,
KPI,Key Performance Index,,
KPI,Key Performance Indicator,,
KP,Kaiser Permanente,,
KSA,"Knowledge, Skills, Abilities",,
KSAO,"Knowledge, Skills, Abilities, and Other",,
KWAPI,Kernel Windows Application Program Interface,,
KWIC,Key Word In Context (KWIC),,
L32,Lightweight C32 Implementation,,
LAB,Laboratory or Laboratory Value,,
LACAS,Licensing and Certification Approval System,,
LAD,Left Anterior Descending Artery,,
LA,Loan Administration,,
LAN,Local Area Network,,
LAPP,Lender Appraisal Processing Program,,
LAQ,Long Arc Quad,,
LAS,Legal Administrative Specialist,,
LBGT,"lesbian, bisexual, gay, transgender",,
LBP,low back pain,,
LBX,Lockbox First Party,,
LCC,Life Cycle Costs,,
LCFR,Lifecycle Funding Requirement,,
LCP,Letter Change Proposal,,
LCSW,Licensed Clinical Social Worker,,
LDAP,Lightweight Directory Access Protocol,,
LDIF,Lightweight Directory Interchange Format,,
LDI,Leadership Development Institute,,
LDL,Low Density Lipoprotein,,
LDQT,Logistics Data Query Tool,,
LDSI,Lab Data Sharing and Interoperability,,
LEAD,Leadership Effectiveness and Development,,
LEAF,"Logistics, Engineering, Acquisition, and Finance",,
LEA,Law Enforcement Agency,,
LEDI,Laboratory Electronic Data Interchange,,
LEIE,List of Excluded Individuals and Entities,,
LEIPR,Longitudinal Enterprise Integrated Patient Record,,
LE,Local Environment,,
LE,Lower extremity,,
LES,Leave and Earnings Statement,,
LF,Life Flight,,
LFT,Limited Field Test,,
LFT,liver function tests,,
LG,Loan Guarantee,,
LGY,Loan Guaranty Service,,
LH,Luteinizing Hormone,,
LIE,Legal Instruments Examiner,,
LIMS,Laboratory Information Management System,,
LIP,Licensed Independent Practitioner,,
LIS,Laboratory Information System,,
LJWG,Laboratory Joint Working Group,,
L,Left,,
LLQ,Left lower quad of abdomen,,
LMA,laryngeal mask airway,,
LMIP,Laboratory Management Index Program,,
LM,Left Message,,
LMOM,Left Message on Machine,,
LMS,Learning Management System,,
LMVM,Left Message Voice Mail,,
L/NC,liters per nasal cannula,,
LNO,Library Network Office,,
LOA,Line Of Action,,
LOB,Line of Business,,
LOC,Loss of Consciousness,,
LOE,Level Of Effort,,
LOINC,"Logical Observation Identifiers, Names, and Codes",,
LO,LOt,,
LPC,Licensed Professional Counselor,,
LPES,Legacy Product Enhancement Service,,
L&P,Load & Performance,,
LP,Loan Production,,
LP,Locality Pay,,
LPN,Licensed Practical Nurse,,
LQS,Lexicon Query Service,,
LRAC,Local Reasonable Accommodations Coordinator,,
LRC,Learning Resources Center,,
LRC,Local Recovery Coordinator,,
LR,Lactate Ringers,,
LRRP,Long-range Reconnaissance Patrol,,
LRRPS,Long-range Reconnassaince Patrols,,
LSC,Logistic Support Chief,,
LSRI,Laboratory System Re-engineering Initiative,,
LSRP,Laboratory System Re-Engineering Project,,
LSTAT,Life Support for Trauma and Transport,,
LTCI,Long Term Care Institute,,
LTC,Long Term Care,,
LTP,Legacy Transition Plan,,
LTR SNT,LETTER SENT,,
LTS,Long Term Solution,,
LUM,Low-Unit-of-Measure Distribution,,
LUN,Logical Unit Number,,
LUQ,left upper quadrant of abdomen,,
LUTS,Lower urinary tract symptoms,,
LVER,Local Veteran Employee Representative,,
LV,Low Vision,,
LWBS,Left Without Being Seen,,
LWOP,Leave Without Pay,,
MAAG,MHS Application Access Gateway,,
MAA,Medical Administration Assistant,,
MABPR,Management Analysis/Business Process Reengineering Program,,
MACE,Military Acute Concussions Evaluation,,
MAC,Management Advisory Consortium,,
MAC,Mandatory Access Control,,
MAC,Media Access Control,,
MAC,Medicare and Medicaid Analysis Center,,
MAC,Messaging Authentication Code,,
MACPAC,Mid-Atlantic Consolidated Patient Account Center,,
MADM,Milestone Acquisition Decision Memorandum,,
MADSS,Managment and Decision Support System,,
MAE,Mobile Application Environment,,
MAE,Moving All Extremities,,
MAF,MUMPS AudioFax,,
MAG,Microsoft Azure Government (see VAEC),,
MALE,Memorial Affairs Letters Enhancements,,
MA,Major Application,,
MA,Management Analyst/Analysis,,
MAMC,Madigan Army Medical Center,,
MAMOE,Medical Administration and Miscellaneous Operating Expenses,,
MAN,Metropolitan Area Network,,
MAPD,Modern Award Processing Development,,
MAP-D,Modern Award Processing Development,,development component of VBMS (or maybe separate system?)
MAPR,Maximum Annual Pension rate,,
MAPR,Mission Assurance Planning Repository,,
MAPUE,Memorial Affairs Performance and Usability Enhancements,,
MARC,Multi-Technology Automated Reader Card,,
MARG,Management Applications Requirements Group,,
MAR,Medical Administration Record,,
MAR,Memorial Affairs Re-design,,
MAS,Medical Administration Service,,
MASS,Medical Appointment Scheduling System,,
MATMO,Medical Advanced Technology Management Office,,
MAVERIC,Massachusetts Veterans Epidemiology Research and Information Center,,
MBI,Maslach Burnout Inventory,,
MBI,Moderate Background Investigation,,
MBM,Meds by Mail,,
MBMS,Memorials Business Management System,,
MBS,Modified Barium Swallow,,
MBSR,Mindfulness-Based Stress Reduction,,
MCAO,Managerial Cost Accounting Office,,
MCAP,Managerial Cost Accounting Program,,
MCCF,Medical Care Collections Fund,,
MCCF,Medical Care Cost Fund,,
MCCR,Medical Care Cost Recovery,,
MCG,Medical Care Group,,
MCIS,MHS CyberInfrastructure Services,,
MC,Medical Center,,
MCM,Medical Center Memorandum,,
M-Code,Massachusetts General Hospital Utility Multi-Programming System Code,,
MCO,Managed Care Organizations,,
MCS,Managed Care System,,
MCUS,Multipoint Control Units,,
MDA,Milestone Decision Authority,,
MDC,M Development Committee,,
MDCR,Modular Data Collection & Recording,,
MDD,Major Depressive Disorder,,
MDDS,Medical Device Data Systems,,
MDE,M Data Extraction,,
MD FIRE,Medical Device Free Interoperability Requirements for the Enterprise,,
MDHT,Model-Driven Health Tools,,
MDIA,Medical Device Isolation Architecture,,
MDI,Medical Device Integration,,
MDISS,"Medical Device Innovation, Safety and Security Consortium",,
MDO,Medical Domain Objects,,
MDRC,Management Decision and Research Center,,
MDR,Meta Data Registry,,
MDRO,Multiple Drug Resistant Organism(s),,
MDS-HC,Minimum Data Set Home Care,,
MDWS,Medical Domain Web Services,,
MEAV,Medical Equipment Asset Value,,
MEB,Medical Executive Board,,
MEDIPRO,Medical District Initiated Peer Review Organization,,
MED,Medical Electronic Documentation,,
MED,Medication or Medicine,,
MED,Medication or Medicine Team,,
MED,Mobile Electronic Documentation,,
MEDNET,Medical Network,,
MEFS,"Management, Enrollment and Financial Systems",,
MEG,Mid Epigastric quadrant of Abdomen,,
ME/NILCO,Code ME/NILCO,,
MEO,Most Efficient Organization,,
MEP,"Mechanical, Electrical & Plumbing",,
MERRT,Medical Emergency Radiological Response Team,,
MET,Motivational Enhancement Therapy,,
MFD,Multi-Functional Device,,
MFH,Medical Foster Home,,
MF,Medical Facilities,,
MFS,Management and Financial Systems,,
MFS,Master File Server,,
MGIB,Montgomery GI Bill,,
MGT,management,,
MHACC,MENTAL HEALTH AMBULATORY CARE CLINIC,,
MHAC,Mental Health Assessment Clinic,,
MHA,Mental Health Assistant,,
MHBSS,Mental Health and Behavioral Sciences Service,,
MHC,Mental Health Clinic,,
MHEC,Mental Health Evaluation Clinic,,
MHICM,Mental Health Intensive Care Management,,
MHICM,Mental Health Intensive Case Mangement,,
MHI,Mental Health Issue(s),,
MH,mental health,,
MHRRTP,Mental Health Residential Rehabilitation Treatment Program,,
MHS,Mental Health Suite,,
MHS,Military Health System,,
MHTC,Mental Health Treatment Coordinator,,
MHVAC, MyHealtheVet Account Creation,,
MHVC,MyHealtheVet Coordinator,,
MHV,My HealtheVet,,
MHZ,Megahertz,,
MIB,Management Information Base,,
MIB,Medical Information Bus (standard),,
MICHM,Mental Health Intensive Case Management,,
MICU,Medical Intensive Care Unit,,
MID,Middle,,
MIL,Medication Image Library,,
MI,Major Initiative,,
MIMC,Medical Information Management Committee,,
MIME,Multimedia Internet Mail Extensions,,
MIN,minute,,
MINX,Management Information Exchange System (Delta Solutions Inc.),,
MIO,Medical Informatics Office,,
MIPR,Military Interdepartmental Purchasing Request,,
MIRECC,"Mental Illness Research, Education and Clinical Center",,
MIRMO,Medical Information Resources Management Office,,
MISD,Management Information Software Development,,
MIS,Management Information Systems,,
M&IS,Messaging and Interface Services,,
MISN,Memorial Integrated Service Network,,
MISS,Medical Information Security Service,,
MITA,Medicaid Information Technology Architecture,,
MIT,Means Indicator Test,,
MLLP,Minimum Lower Layer Protocol,,
M/L,Message Left,,
ML,milliliter,,
MLQ,Mid lower quadrant of abdomen,,
MMAD,Mass Median Aerodynamic Diameter,,
MMI,Master Member Index,,
M&M,Morbidity and Mortality,,
MMPI,Minnesota Multiphasic Personality Inventory,,
MMP,Medical Monitoring Project,,
MMS,Medical Media Service,,
MMSO,Military Medical Support Office,,
MMU,Mobile Medical Unit,,
M,MUMPS (Massachusetts General Utility Multi-Programming System),,
MNE,Military Noise Exposure,,
MOA,Memorandum of Agreement,,
MOB,Make-or-Buy,,
MOCHA,Medication Order Check Healthcare Application,,
MODEM,Modulator/Demodulator,,
MOD,Medical Officer of the Day,,
MOD,month of death,,
MOE,Measures of Effectiveness,,
MOF,Meta-Object Facility,,
MOLAP,Multidimensional On-Line Analytical Processing,,
MO,Medical Officer,,
MOM,Message Oriented Middleware,,
MO.,Month,,
MON,Monday,,
MOPH,Military Order of the Purple Heart,,
MOP,Measures of Performance,,
MORC,Mobile Outreach Clinic,,
MOR,Missed Opportunity Rate,,
MOS,Military Occupational Specialty,,
MOSS,Microsoft Office SharePoint Server,,
MOU,Memorandum of Understanding,,a not-super-binding legal aggrement between two parties
MOW,MEALS ON WHEELS,,
MPA,Merit Promotion Announcement,,
MPCR3,Monthly Program Cost Report 3,,
MPCR,Monthly Program Cost Report,,
MPD,Minimal Patient Dataset,,
MPEG,Moving Picture Experts Group,,
MPHISE,Medical Public Health Information Sharing Environment (Work Group),,
MPI/CIRN-PD,Master Patient Index/CIRN Patient Demographics,,
MPI/DQ (OLD),Master Patient Index/Data Quality (See IM DQ),,
MPI,Lexiscan MPI,,
MPIL,Master Patient Information Locator,,
MPI,Master Patient Index,,
MPI/PD,Master Patient Index/Patient Demographics,,
MPL,Master Patient Locator,,
MPLS,Multiprotocol Label Switching,,
MP,Manual Part,,
MP,Medication Profile,,
MPR,Monthly Performance Report,,
MPR,Monthly Progress Review,,
MPS,Memorial Programs Service,,
MQAS,Management Quality Assurance Service,,
MRA,Medicare Remittance Advice,,
MRB,Merit Review Board,,
MRCP,Magnetic Resonance Cholangiopancreatography,,
MRI,Magnetic Resonance Imaging,,
M&ROC,Medical and Regional Office Center,,
MR&OP,Mission Requirements & Performance Outcomes,,
MRP,My Recovery Plan,,
MRSA,Methicillin-Resistant Staphylococcus Aureus,,
MRS,Medical Research Service,,
MRS,Military Records Specialist,claims processing,knows how to find and navigate older records
MRT,Moral Reconation Therapy,,
MRTS,Message Routing and Translation System,,
MRWG,Medical Records Working Group,,
MSAC,Medical Situational Awareness & Command and Control,,
MSA,Medical Support Assistant,,
MS&C,Medical Support and Compliance,,
MSC,military service coordinator,,
MSDS,Material Safety Data Sheet,,
MSDS,Medical Supply Distribution Section,,
MSDS,Military Service Data Sharing,,
MSE,Managed Self-Enrollment,,
MSF,Managing Scanning Failures,,
MSICU,Medical Surgical Intensive Care Unit,,
MS IE,Microsoft Internet Explorer,,
MS IIS,Microsoft Internet Information Server,,
MSI,Master Subject Index,,
MS&N,Medical Surgical & Neurological,,
MSN,Memorial Service Network,,
MSOC,Multi-Specialty Outpatient Clinic,,
MSO,Medical Sign-On,,
MSPE,Medical Student Performance Evaluation,,
MSP,"Motor, Sensory & Pulses",,
MSPV,Med/Surg Prime Vendor,,
MSQCSR,Milestone Schedule Quarterly Congressional Status Report,,
MST,Military Sexual Trauma,claims processing,puts the claim in special operations processing lane
MSV,Maintenance and Support of VistA,,
MTC,Major Transaction Class,,
MTFB,Mean Time Between Failures,,
MTF,(DoD) Military Treatment Facility,,
MTF,Medical Treatment Facility/Facilities,,
MTM,Medication Therapy Management,,
MTP,Master Test Plan,,
MTSA,Master Telehealth Service Agreement,,
MUGA,Multiple Gated Acquisition,,
MU,Meaningful Use,,
MU,Monitoring Unit,,
MUMPS,Massachusetts General Hospital Utility Multi-Programming System,,"programming language that provides transaction processing capabilities and ""built-in"" DB"
MUQ,Mid upper quadrant of abdomen,,
MVAC,Medical VA Center,,
MVAC,MyVA Advisory Committee,,
MVAHCS,Minneapolis Veterans Administration Health Care System,,
MVA,Motor Vehicle Accident,,
MVC,Mobile Vet Centers,,
MVC,MyVeHU Campus,,
MVI,Master Veteran Index,,single identifier for vet across systems (?)
MVP,Million Veteran Program,,
MVR,Master Veteran Record,,
MWAPI,M Windows Application Program Interface,,
MWB,Messaging Work Bench,,
MYP,Multi-year Programs,,
NAA,National Association of Area Agencies on Aging,,
NAA,Next Available Appointment,,
NABS,Normal Active Bowel Sounds,,
NACI,National Agency Check w/Inquiries,,
NAC,National Acquisition Center,,
NACVSO,National Association of County Veteran Service Officers,,
NADL,Native American Direct Loan,,
NAD,No acute distress,,
NAGE,National Association of Government Employees,,
NAGIS,National Advisory Group for Information Security,,
NAGMA,Non anion gap metabolic acidosis,,
NAI,Network Associates Incorporated,,
NAMMCAL,North American Medical Management California,,
NANP,North American Numbering Plan,,
NAO,Network Authorization Office,,
NAOU,Narcotics Area Of Use,,
NAPA,National Academy of Public Administration,,
NARA,National Archives and Records Administration,,
NARS,National Automated Response System,,
NASA,National Aeronautics and Space Administration,,
NAS,National Academy of Sciences,,
NAS,Network-addressable Storage,,
NASUA,National Association of State Units on Aging,,
NASVH,National Association of State Veterans Homes,,
NAT,Network Address Translation,,
NATREM,NATional REMinders Development Account,,
NATS,NETWORK ACTION TRACKING SYSTEM,,
NAVACOS,National Association of VA Chiefs of Staff,,
NAVAP,National Association of VA Physicians,,
NBC,National Biodefense Campus,,
NBS,National Bureau of Standards,,
NCA,National Capital Area,,
NCA,National Cemetery Administration,VA,
NCAO,National Cemetary Area Office,,
NCAT,Neurocognitive Assessment Tool,,
NCCAM,National Center for Complementary and Alternative Medicine,,
NCCC,National Center for Cost Containment,,
NCCC,National Clozapine Coordinating Center,,
NCCHV,National Call Center for Homeless Veterans,,
NCCIP,National Cardiovascular Care Improvement Program,,
NCCMH,North-side Community Care Mental Health,,
NCC,National Call Center,,
NCCPAC,North Central Consolidated Patients Account Center,,
NCD,National Center for Documentation,,
NCFC,National Customer Feedback Center,,
NCHC,National Criminal History Check,,
NCHCS,Northern California Health Care System,,
NCHPDP,National Center for Health Promotion and Disease Prevention,,
NCHS,National Center for Health Statistics,,
NCID,Numeric Concept Identifier,,
NCI,National Cancer Institute,,
NCIS,National Center for Information Security,,
NCITS,National Committe For Information Technology Standards,,
NCL,National Control Listing,,
NCMD,National Card Management Directory,,
NCMHC,National Center on Minority Health and Health Disparities <https://www.ncmhd.nih.gov>,,
NC,nasal cannula,,
NC,National Cemetary,,
NCOA,National Change of Address,,
NCOD,National Center for Organization Development,,
NCO,Network Contracting Office,,
NCPDP,National Council for Prescription Drug Programs,,
NCP,National Center for Health Promotion and Disease Prevention,,
NCPS,Natinal Center for Patient Safety,,
NCQA,National Committe for Quality Assurance,,
NCS,National Cemetary System,,
NCS,National Contract Service,,
NCVHS,National Committee on Vital & Health Statistics,,
NDAA,National Defense Authorization Act,,
NDA,Non-Disclosure Agreement,,
NDBI,National Data Base Integration (Team),,
NDC,National Data Center,,
NDC,National Drug Code,,
NDCP,National Data Center Program,,
NDE,National Data Extract,,
NDF,National Drug File,,
NDF-RT,National Drug File-Reference Terminology,,
NDI,Non-Developmental Item,,
NDMS,National Disaster Medical System,,
ND,National Director,,
ND,Network Director,,
NDNQI,National Database of Nursing Quality Indicators,,
NDPP,National Director's Performance Plan,,
NDR,National Drug File,,
NDS,Naming Directory Service,,
NDS,National Data Systems,,
NEAR,New Enrollee Appointment Request,,
NEC,Naval Enlisted Code,,
NEDSS,National Electronic Data Surveillance System,,
NEG,Negative,,
NeHC,National eHealth Collaborative,,
NEMRT,National Emergency Management Response Team,,
NEMT,National Emergency Management Team,,
NEO,New Employee Orientation,,
NEPEC,Northeast Program Evaluation Center,,
NEURO,Neurology or Neurologic,,
NEWT,Nessus Enterprise Web Tool,,
nexus statement,evidence of service connection,claims processing,evidence of a connection between an existing condition and an event during active military service
NF,National Formulary,,
NFPO,National Fee Program Office,,
NF/SG,North Florida/South Georgia,,
NFS,Network File System,,
NFS,Nutrition and Food Service,,
NGI,Next Generation Internet,,
NGIT,Northup Grumman Information Technology,,
NGL,Nationwide Gravesite Locator,,
NG,nasogastric,,
NGTD,No Growth To Date,,
NHCC,Naval Health Clinic Charleston,,
NHC,Nursing Home Care,,
NHCPD,National Health Care Practitioners Database,,
NHCU,Nursing Home Care Unit,,
NHD,National Help Desk,,
NHE,National Health Exchange,,
NHE,Network Health Exchange,,
NHIE,National Health Information Exchange,,
NHII,National Health Information Infrastructure (WG of NCVHS),,
NHI,Nationwide Health Information,,
NHIO,National Health Information Organization,,
NHPI,National Health Plan Identifier,,
NHPPD,nursing hours per patient day,,
NHPP,National Health Physics Program,,
NHRIC,National Health Related Items Code,,
NHSN,National Healthcare Safety Network,,
NICMO,non-ischemic cardiomyopathy,,
NIC,Network Interface Card,,
NIC,Non-Institutionalized Care,,
NIDDM,Non insulin diabetis Melitis,,
NIEM,National Information Exchange Model,,
NIF,National Item File,,
NIGMS,National Institute General Medicine Service,,
NIHI,National Initiative for Health Care Informatics,,
NIH,National Institutes of Health,,
NII,National Information Infrastructure,,
NIIS,Nursing Integrated Information System,,
NIMH,National Institute of Mental Health,,
NIMS,National Incident Management System,,
NIPRNet,Non-secure Internet Protocol Router Network,,
NIPRNET,uNclassified Internet Protocol Router Network,,
NIRC,Non-Institutional Respite Care,,
NIRMO,National Initiative to Reduce Missed Opportunities,,
NISO,(Network) Information Security Officer,,
NIS&T,National Institute for Science and Technology,,
NIST,National Institute of Standards and Technology,,
NIT,Nursing Intervention Team,,
NITRD,Networking and Information Technology Research and Development,,
NKDA,No Known Drug Allergies,,
NLB,National Leadership Board,,
NLC,National Leadership Council,,
NLM,National Library of Medicine,,
NLN,National League for Nursing,,
NLTF,VA National Laboratory Test File,,
NLT,National Laboratory Test,,
NMCSD,Naval Medical Center San Diego,,
NMDC,National Media Development Center,,
NMEA,Non Mail Enabled Administrator,,
NME,National Medical Enterprises,,
NMHIP,National Mental Health Improvement Program,,
NMIMC,Naval Medical Information Management Center,,
NMR,Nuclear Magnetic Resonance,,
NMS,NeuroMusculoSkeletal,,
NNEI,National Nursing Education Initiative,,
NNMC,National Naval Medical Center,,
NNPO,National Non-VA Program Office,,
NNTP,Network News Transport Protocol,,
NOAC,Nature of Action Code,,
NOA,Notice of Appeal,,
NOA,Notice of Awards,,
NOAVA,Nationwide Office Automation for Veterans Affairs,,
NOC,Network Operations Center,,
NOD,Notice of Death,,
NOD,Notice of Disagreement,appeals,
NOD,Nursing Officer of the Day,,
NOI,No Other Inquiries,,
NOIS,National On-line Information System,,
NOK,Next of Kin,,
NOPP,Notice of Privacy Practices,,
NOS,Not Otherwise Specified,,
NOV,Notice of Value,,
NPA,Nasal Pharyngeal Airway,,
NPCDB,National Patient Care Database,,
NPCD,National Patient Care Database,,
NPDB,National Practitioner Data Bank,,
NPDR,nonproliferative diabetic retinopathy,,
NPI,National Provider Identifier,,
NPM,National Patch Module,,
NP,Nurse Practitioner,,
NPOD,"Night Psychiatrist on duty, usually for ER eval of pt",,
NPO,"Nothing by mouth, pt may not eat or drink",,
NPPD,National Prosthetic Patient Database,,
NPPES,National Plan and Provider Enumeration System,,
NPRC,National Personnel Records Center,,
NPRM,Notice of Proposed Rule Making,,
NPR,National Performance Review,,
NPSB,Nurse Professional Standards Board,,
NPS,Nursing Professional Services,,
NPS/SRD,National Provider System/System Requirements Definition,,
NPTF,New Patient Treatment File,,
NQC,National Quality Council,,
NRC,Nuclear Regulatory Commission,,
NRDC,National Rural Development Council,,
NRD,National Resource Directory,,
NRD,Next Review Date/Due,,
NREN,National Research and Education Network,,
NRMIS,National Resources Management Information System,,
NRM,Non-recurring Maintanence,,
NRSC,National Radiation Safety Committee MML,,
NSA,National Security Agency,,
NSC,Network Support Center,,
NSC,Non-Service Connected,,
NSD,National Service Desk,,creates and routes incidents in the ServiceNow portal
NSLI,National Service Life Insurance,,
NS,Normal Saline,,
NS,Normal Saline IV fluid,,
NSOC,Network Security Operations Center,a large group of network engineers maintaining the network infrastructure for VA,also referred to as ITOPS
NSPD,National Security Presidential Directive,,
NSP,Not Seperately Priced,,
NSQIP,National Surgical Quality Improvement Program,,
NSR,New Service Request,,
NSR,Normal Sinus rythm,,
NSTIC,National Strategy for Trusted Identities in Cyberspace,,
NTA,National Training Academy,,
NTE,Network Health Exchange,,
NTE,Not-to-Exceed,,
NTEO,National Training & Education Office,,
NTF,"""no trouble found""",,
NTIA,National Telecommunications Information Administration,,
NTIS,National Technical Information Service,,
NT,New Technology,,
NTP,National Teleradiology Program,,
NTP,National Training Priorities,,
NTP,Network Time Protocol,,
NTR,Notice to Report,,
NTRT,New Term Rapid Turnaround,,
NTS,Near-Term Solution,,
NUCC,National Uniform Claim Committee,,
NUMI,National Utilization Management Integration,,
NVCC,Non-Va Care Consult,,
NVCC,Non VA Care Coordination,,
NVC,National Verification Center,,
N/V/D,nausea/vomiting/diarrhea,,
NVDRS,National Violent Death Reporting System,,
NVLD,Non-Verbal Learning Disability,,
N/V,nausea/vomiting,,
NVO,National Veterans Outreach,,
NVSAAB,National Veterans Service Advocates Advisory Board,,
NVSBE,National Veterans Small Business Engagement,,
NVS,National VISTA Support,,
NVSO,National Veteran Service Organization,submission,
NVW,National Vista Web server,,
NVW,VistA Web,,
NWB,NWB,,
NwHIN,Nationwide Health Information Network,,
NWIHCS,Nebraska Western Iowa Health Care System,,
NWQ,National Work Queue,claims processing,
NYHHCS,New York Harbor Healthcare System,,
O2,Oxygen,,
O2 SAT,Oxygen Saturation,,
OAA,Office of Academic Affairs,,
OAA,Office of Academic Affiliations,,
OAB,over active bladder,,
OAEM,Office of Asset Enterprise Management,,
OAIC,"Office of Accountability, Integrity and Compliance",,
OAI,Organizational Assessment Inventory,,
OALC,"Office of Acquisition, Logistics, and Construction",,
OAL,Office of Acquisition and Logistics,,
OA&L,Office of Acquisitions and Logistics,,
OA,Office Automation,,
OA,Office of Audit,,
OAO,Office of Acquisition Operations,,
OA,Operational Analytics,VA dept,
OAP,Operational Acceptance Plan,,
OASD(HA),Office of the Assistant Secretary of Defense for Health Affairs,,
OASDI,"Old Age, Survivors & Disability Insurance",,
OASIS,Organization for the Advancement of Structured Information Standards,,
OAS,Office of Acquisition SharePoint – MOSS 2010,,
OAuth2,Open Authorization 2,,
OBC,Office of Business Continuity,,
OBE,Online Booking Engine,,
OBO,Office of Business Oversight,,
OBPI,Office of Business Process Integration,,
OBP,Optimized Business Process,,
OBRA,Omnibus Budget Reconciliation Act,,
OBS,Offboard Server,,
OBS,Organizational Breakdown Structure,,
OCCC,Office of Clinical Consultation & Compliance,,
OCC,Office of Care Coordination,,
OCIOII,Office of the CIO Infrastructure Improvements,,
OCIO,Office of Chief Information Officer,,
OCI,Orgainizational Conflict Of Interest,,
OCIS,Office of Cyber and Information Security,,
OCLA,Office of Congressional and Legislative Affairs,,
OCMO,Office of the Chief Medical Officer (DoD),,
OCM,Outlines in Clinical Medicine,,
OCN,Oncology Certified Nurse,,
OC,Office of Construction,,
OCO,Overseas Contingency Operation,,
OCP,Oral Contraceptive Pill,,
OCR,Office for Civil Rights,,
OCR,Optical Character Reader,,
OCR,Optical Character Recognition,claims processing scanning,
OCS,Office Communicator Server,,
OCS,Office of Cyber Security,,
OCWG,Organizational Consistency Working Group,,
ODA,Operating Division of Audit,,
ODBC,Open Database Connectivity,,
ODC,Other Direct Costs,,
ODI,Office of Diversity and Inclusion,,
ODM&T,Office of Data Management and Telecommunications,,
"OD, OS, OU","Oculus Dexter, Oculus Sinister, Oculus Uterque",,
ODS,Office of Dietary Supplements <https://www.od.nih.gov>,,
ODS,Operational Data Store,,
OEA&I,Office of the Enterprise Architecture and Innovation,,
OEAM,Office of Enterprise Architecture Management,,
OEA,Office of Enterprise Architecture,,
OEC,Office of Enterprise Communications,,
OEDCA,Office of Employment Discrimination Adjudication,,
OED,Office of Enterprise Development (see PD),,
OEF/OIF,Operation Enduring Freedom/Operation Iraqi Freedom,,
OEF,Operation Enduring Freedom,,
OEM,Office of Emergency Management,,
OEMP,Office of Emergency Medical Preparedness,,
OEO,Office of Economic Opportunity,,
OE,Other Equipment,,
OE/RR,Order Entry/Results Reporting,,
OERR,Order Entry Results Reporting,,
OESS,Office of E-Health Standards and Services,,
OFA&A,Office of Facilities Access and Administration,,
OFFM,Office of Federal Financial Management,,
OFIRM,Office of Finance and Information Resources Management,,
OF,Office of Facilities,,
OFO,Office of Field Operations,VA dept,
OF,Optional Form,,
OFPIAR,Office of Financial Process Improvement and Audit Readiness,,
OFPP,Office of Federal Procurement Policy,,
OFP,The Office of Financial Policy,,
OGA,Other Government Agencies,,
OGC,Office of General Counsel,,
OGD,Open Government Directive,,
OG,orogastric,,
OHI,Office of Health Information,,
OHRA,Office of Human Resources and Administration,,
OHRM,Office of Human Resources Management,,
OHRO,Office of Human Reserach Oversight,,
OHRS,Occupational Health Record-keeping System,,
OHS,Office of HIPAA Standards,,
OHT,Office of Health Care Transformation,,
OHT,Open Health Tools,,
OIA,Office of Informatics and Analytics,,
OIA,Office of Information Assurance,,
OID,Organizational Identifier,,
OIFO,Office of Information Field Office,,
OIF,Operation Iraqi Freedom,,
OIG,Office of the Inspector General,,
OINQ,Outpatient Inquiry,,
OI,Office of Information (see OHI),,
OIPT,Overarching Integrated Product Team,,
OIRA,Office of Information and Regulatory Affairs (in OMB),,
OIRM,Office of Information Resource Management,,
OIS,Office of Information Security,,
OI&T,Office of Information & Technology,VA dept,
OITC,Office of Information Technology and Communications,,
OITSC,OI Tactical Space Committee,,
OLAF,On-Line Approval File,,
OLA,Operation Level Agreement,,
OLAP,Online Analytical Processing,,
OLCS,On-Line Certification System,,
OLE,Object Linking and Embedding,,
OLTP,On-Line Transaction Processing,,
O'MAT,ORH Management & Analysis Tool,,
OMB,Office of Management and Budget,,
OMC,Operations Management Center,,
OMELOS,Observed minus expected length of stay,,
OMG,Object Management Group,,
OMHO,Office of Mental Health Operations,,
OMHS,Office of Mental Health Services,,
OMI,Office of Medical Inspector,,
OMM,Osteopathic Manipulative Medicine,,
OM,Office of Management,,
OMO,Outside Medical Opinion,,
O&M,Operations and Maintenance,,
O&M,Orientation and Mobility,,
OM,Operations Management,,
OMPF,Official Military Personnel Files,,
OMR,Office of Media Relations,,
OMR,Operational Management Review,,
OMT,Osteopathic Manipulative Treatment,,
ONCHIT,Office of the National Coordinator for Health Information Technology,,
ONC,Office of the National Coordinator,,
ONC,Office of the National Coordinator for Health Information Technology,VistA,created in 2004 by presidential executive order
ONC,Office of the National Coordinator for Health IT (ONC),,
OND,Operation New Dawn,,
ONE,Occupational Noise Exposure,,
